id,symbol,date,open,high,low,close,adjusted_close,volume,rsi_5p
54600,gdx.us,5/22/2006,36.52,37.29,35.87,37.23,31.824,197100,100.0
54601,gdx.us,5/23/2006,37.75,39.22,37.75,37.96,32.448,620900,100.0
54602,gdx.us,5/24/2006,37.13,37.57,35.87,36.52,31.217,638600,33.641
54603,gdx.us,5/25/2006,37.18,38.32,36.98,38.32,32.756,367000,63.728
54604,gdx.us,5/26/2006,38.74,38.74,37.77,38.55,32.953,269400,65.718
54605,gdx.us,5/30/2006,39.5,39.72,38.11,38.17,32.627,559100,60.26
54606,gdx.us,5/31/2006,38.9,39.13,38.12,38.85,33.209,350700,59.822
54607,gdx.us,6/1/2006,37.2,38.58,37.17,38.53,32.935,641300,79.465
54608,gdx.us,6/2/2006,39.31,39.39,38.8,39.13,33.448,277300,68.319
54609,gdx.us,6/5/2006,40.27,40.27,38.095,38.13,32.593,436000,42.947
54610,gdx.us,6/6/2006,38.03,38.03,36.716,37.01,31.636,663600,34.409
54611,gdx.us,6/7/2006,36.31,37.55,35.82,36.14,30.892,484100,15.345
54612,gdx.us,6/8/2006,35.27,35.38,33.62,35.27,30.148,812800,13.453
54613,gdx.us,6/9/2006,35.75,36.19,34.86,35.07,29.978,542200,0.0
54614,gdx.us,6/12/2006,35.48,35.63,33.76,33.78,28.875,584700,0.0
54615,gdx.us,6/13/2006,32.66,33.15,31.82,32.2,27.524,1580900,0.0
54616,gdx.us,6/14/2006,32.85,33.5,32.25,33.03,28.234,646800,17.4
54617,gdx.us,6/15/2006,34.4,35.05,34.0,34.94,29.866,882200,47.16
54618,gdx.us,6/16/2006,35.0,35.0,34.3,34.57,29.55,602300,45.819
54619,gdx.us,6/19/2006,34.17,34.47,33.57,33.6,28.721,366100,48.41
54620,gdx.us,6/20/2006,33.91,34.73,33.6,34.34,29.354,388500,72.199
54621,gdx.us,6/21/2006,34.6,36.04,34.6,35.86,30.653,551000,75.681
54622,gdx.us,6/22/2006,36.0,36.21,35.17,35.64,30.465,590000,59.162
54623,gdx.us,6/23/2006,35.17,36.5,35.15,36.28,31.012,467800,70.905
54624,gdx.us,6/26/2006,36.62,36.8,36.15,36.63,31.311,301500,93.66
54625,gdx.us,6/27/2006,36.97,37.05,35.48,35.48,30.328,469200,64.691
54626,gdx.us,6/28/2006,35.7,35.93,35.0,35.31,30.183,415200,39.13
54627,gdx.us,6/29/2006,35.95,37.96,35.94,37.96,32.448,588500,73.387
54628,gdx.us,6/30/2006,38.7,39.06,38.32,38.7,33.08,1069400,73.913
54629,gdx.us,7/3/2006,39.4,40.23,39.32,40.23,34.388,561200,78.846
54630,gdx.us,7/5/2006,40.1,40.46,38.85,39.37,33.653,685600,82.689
54631,gdx.us,7/6/2006,39.5,39.99,39.04,39.73,33.961,411100,85.994
54632,gdx.us,7/7/2006,39.68,39.88,38.95,39.03,33.363,500500,62.769
54633,gdx.us,7/10/2006,38.39,39.13,38.25,38.67,33.055,401400,49.606
54634,gdx.us,7/11/2006,39.03,39.76,38.79,39.76,33.986,512700,43.027
54635,gdx.us,7/12/2006,40.11,40.46,39.37,39.49,33.756,519500,52.158
54636,gdx.us,7/13/2006,39.48,39.5,38.28,38.33,32.764,647700,30.447
54637,gdx.us,7/14/2006,38.9,39.13,38.34,38.97,33.311,459500,49.148
54638,gdx.us,7/17/2006,38.32,38.672,37.4,37.4,31.969,777700,36.575
54639,gdx.us,7/18/2006,37.89,37.96,36.43,37.0,31.627,800200,15.842
54640,gdx.us,7/19/2006,36.9,38.51,36.9,38.44,32.858,515300,39.923
54641,gdx.us,7/20/2006,38.21,38.33,36.83,36.83,31.482,415200,36.749
54642,gdx.us,7/21/2006,37.08,37.3,35.81,35.81,30.61,646200,23.841
54643,gdx.us,7/24/2006,35.5,36.82,35.19,36.69,31.362,1086500,43.365
54644,gdx.us,7/25/2006,36.83,37.79,36.42,37.69,32.217,949400,55.798
54645,gdx.us,7/26/2006,37.49,38.39,37.18,38.36,32.79,361800,49.228
54646,gdx.us,7/27/2006,39.35,39.37,37.37,37.5,32.055,518000,57.562
54647,gdx.us,7/28/2006,37.78,38.78,37.69,38.78,33.149,371400,81.663
54648,gdx.us,7/31/2006,38.73,38.86,38.23,38.76,33.132,233900,77.024
54649,gdx.us,8/1/2006,38.59,39.75,38.3,39.75,33.978,536600,76.963
54650,gdx.us,8/2/2006,40.34,40.7,39.81,40.66,34.756,944300,78.325
54651,gdx.us,8/3/2006,40.29,40.45,39.56,39.91,34.115,496400,80.506
54652,gdx.us,8/4/2006,40.67,40.77,39.54,39.59,33.841,500200,63.547
54653,gdx.us,8/7/2006,39.8,40.42,39.72,40.12,34.294,279800,69.43
54654,gdx.us,8/8/2006,39.99,40.45,39.565,39.72,33.952,361100,49.485
54655,gdx.us,8/9/2006,40.04,40.864,39.8,40.58,34.687,631000,48.601
54656,gdx.us,8/10/2006,40.3,40.38,39.19,39.75,33.978,745500,47.279
54657,gdx.us,8/11/2006,40.1,40.24,38.68,38.69,33.072,512100,37.77
54658,gdx.us,8/14/2006,38.52,38.84,37.88,38.04,32.516,420300,22.632
54659,gdx.us,8/15/2006,38.15,38.72,38.15,38.56,32.961,298300,35.204
54660,gdx.us,8/16/2006,39.23,39.462,39.063,39.19,33.499,199600,31.165
54661,gdx.us,8/17/2006,39.05,39.09,38.02,38.28,32.721,277300,30.504
54662,gdx.us,8/18/2006,38.55,38.55,37.62,38.38,32.807,317100,44.484
54663,gdx.us,8/21/2006,39.15,40.29,39.0,40.29,34.44,408000,77.641
54664,gdx.us,8/22/2006,40.0,40.5,39.67,40.5,34.619,304100,75.798
